target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNT2	intra	Monocytes	Monocytes	0.371829549713901	10
KCNT2	juxta_ct	Fibroblasts	Fibroblasts	2.59918154110565	10
KCNT2	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.16197422600271	10
KCNT2	juxta_ct	TAM	TAM	1.85936690100393	10
KCNT2	juxta_ct	B_cells	B cells	1.16617826466159	9
KCNT2	juxta_ct	Monocytes	Monocytes	0.907084106960596	10
KCNT2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.92272591848781	3
KCNT2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.6121219776048	10
KCNT2	para_ct	Monocytes	Monocytes	1.50147284033955	10
KCNT2	para_ct	B_cells	B cells	1.47238404650111	9
KCNT2	para_ct	Fibroblasts	Fibroblasts	1.46570285290228	10
